Name,Purpose,Qty,Total (USD),Distributor,Link
Supports (Block of wood or 3D Printed),To hold the bolts in place together,1,$10.00,Hardware Store or 3D Printed,-
Gear,Gearing down the Potentiometer so that 900 degrees of the wheel will turn the potentiometer 280 degrees (1:3.1 ratio),1,$4.00,3d Printed,-
Bolt,Connected to the steering wheel and the gear to drive the belt system,2,$9.09,Hardware Store or 3d Printed,https://www.mcmaster.com/93325A422/
M2 Screws,To Mount things,8,$0.28,Hardware Store,https://www1.mcmaster.com/99461A914/
Washer,To ensure easier turning so that the nuts wont be moving due to buildup of friction,4,$5.71,Hardware Store or 3d Printed,www.mcmaster.com/91701A622/
Pulley Belt,Connecting the 2 gears without backlash,1,$26.43,Hardware Store,https://www1.mcmaster.com/6484K159/
Nut,Stopping the steering wheel from turning too much and snapping the wiper + more stuff,4,$0.25,Hardware Store or 3d Printed,https://www.mcmaster.com/97700A160/
Ball Bearing,To ensure smooth turning,5,$2.00,Amazon,https://www.amazon.ae/gp/product/B0G1FX4NN2
Wires,Connecting components together,1,$5.50,Besomi,https://besomi.com/ae_en/premium-dupont-wire-kit-for-arduino-and-diy-projects-120pcs-20cm-multicolored.html
Potentiometer,Getting rotation data,1,$2.00,Besomi,https://besomi.com/ae_en/potentiometer-b10k.html
Raspberry Pi Pico H,Brains of the operation,1,$8.50,Besomi,https://besomi.com/ae_en/raspberry-pi-pico-h.html
